x,y,zone,n_polygons,landed_in,defect,source
43.75,137.5,paint,1,mid_center,disagreement,grid
44,137.5,paint,1,mid_center,disagreement,grid
44.25,137.5,paint,1,mid_center,disagreement,grid
44.5,137.5,paint,1,mid_center,disagreement,grid
44.75,137.5,paint,1,mid_center,disagreement,grid
45,137.5,paint,1,mid_center,disagreement,grid
45.25,137.5,paint,1,mid_center,disagreement,grid
45.5,137.5,paint,1,mid_center,disagreement,grid
45.75,137.5,paint,1,mid_center,disagreement,grid
46,137.5,paint,1,mid_center,disagreement,grid
46.25,137.5,paint,1,mid_center,disagreement,grid
46.5,137.5,paint,1,mid_center,disagreement,grid
46.75,137.5,paint,1,mid_center,disagreement,grid
47,137.5,paint,1,mid_center,disagreement,grid
47.25,137.5,paint,1,mid_center,disagreement,grid
47.5,137.5,paint,1,mid_center,disagreement,grid
47.75,137.5,paint,1,mid_center,disagreement,grid
48,137.5,paint,1,mid_center,disagreement,grid
48.25,137.5,paint,1,mid_center,disagreement,grid
48.5,137.5,paint,1,mid_center,disagreement,grid
48.75,137.5,paint,1,mid_center,disagreement,grid
49,137.5,paint,1,mid_center,disagreement,grid
49.25,137.5,paint,1,mid_center,disagreement,grid
49.5,137.5,paint,1,mid_center,disagreement,grid
49.75,137.5,paint,1,mid_center,disagreement,grid
50,137.5,paint,1,mid_center,disagreement,grid
50.25,137.5,paint,1,mid_center,disagreement,grid
50.5,137.5,paint,1,mid_center,disagreement,grid
50.75,137.5,paint,1,mid_center,disagreement,grid
51,137.5,paint,1,mid_center,disagreement,grid
51.25,137.5,paint,1,mid_center,disagreement,grid
51.5,137.5,paint,1,mid_center,disagreement,grid
51.75,137.5,paint,1,mid_center,disagreement,grid
52,137.5,paint,1,mid_center,disagreement,grid
52.25,137.5,paint,1,mid_center,disagreement,grid
52.5,137.5,paint,1,mid_center,disagreement,grid
52.75,137.5,paint,1,mid_center,disagreement,grid
53,137.5,paint,1,mid_center,disagreement,grid
53.25,137.5,paint,1,mid_center,disagreement,grid
53.5,137.5,paint,1,mid_center,disagreement,grid
53.75,137.5,paint,1,mid_center,disagreement,grid
54,137.5,paint,1,mid_center,disagreement,grid
54.25,137.5,paint,1,mid_center,disagreement,grid
54.5,137.5,paint,1,mid_center,disagreement,grid
54.75,137.5,paint,1,mid_center,disagreement,grid
55,137.5,paint,1,mid_center,disagreement,grid
55.25,137.5,paint,1,mid_center,disagreement,grid
55.5,137.5,paint,1,mid_center,disagreement,grid
55.75,137.5,paint,1,mid_center,disagreement,grid
56,137.5,paint,1,mid_center,disagreement,grid
56.25,137.5,paint,1,mid_center,disagreement,grid
56.5,137.5,paint,1,mid_center,disagreement,grid
56.75,137.5,paint,1,mid_center,disagreement,grid
57,137.5,paint,1,mid_center,disagreement,grid
57.25,137.5,paint,1,mid_center,disagreement,grid
57.5,137.5,paint,1,mid_center,disagreement,grid
57.75,137.5,paint,1,mid_center,disagreement,grid
58,137.5,paint,1,mid_center,disagreement,grid
58.25,137.5,paint,1,mid_center,disagreement,grid
58.5,137.5,paint,1,mid_center,disagreement,grid
58.75,137.5,paint,1,mid_center,disagreement,grid
59,137.5,paint,1,mid_center,disagreement,grid
59.25,137.5,paint,1,mid_center,disagreement,grid
59.5,137.5,paint,1,mid_center,disagreement,grid
59.75,137.5,paint,1,mid_center,disagreement,grid
60,137.5,paint,1,mid_center,disagreement,grid
60.25,137.5,paint,1,mid_center,disagreement,grid
60.5,137.5,paint,1,mid_center,disagreement,grid
60.75,137.5,paint,1,mid_center,disagreement,grid
61,137.5,paint,1,mid_center,disagreement,grid
61.25,137.5,paint,1,mid_center,disagreement,grid
61.5,137.5,paint,1,mid_center,disagreement,grid
61.75,137.5,paint,1,mid_center,disagreement,grid
62,137.5,paint,1,mid_center,disagreement,grid
62.25,137.5,paint,1,mid_center,disagreement,grid
62.5,137.5,paint,1,mid_center,disagreement,grid
62.75,137.5,paint,1,mid_center,disagreement,grid
63,137.5,paint,1,mid_center,disagreement,grid
63.25,137.5,paint,1,mid_center,disagreement,grid
63.5,137.5,paint,1,mid_center,disagreement,grid
63.75,137.5,paint,1,mid_center,disagreement,grid
64,137.5,paint,1,mid_center,disagreement,grid
64.25,137.5,paint,1,mid_center,disagreement,grid
64.5,137.5,paint,1,mid_center,disagreement,grid
64.75,137.5,paint,1,mid_center,disagreement,grid
65,137.5,paint,1,mid_center,disagreement,grid
65.25,137.5,paint,1,mid_center,disagreement,grid
65.5,137.5,paint,1,mid_center,disagreement,grid
65.75,137.5,paint,1,mid_center,disagreement,grid
66,137.5,paint,1,mid_center,disagreement,grid
66.25,137.5,paint,1,mid_center,disagreement,grid
66.5,137.5,paint,1,mid_center,disagreement,grid
66.75,137.5,paint,1,mid_center,disagreement,grid
67,137.5,paint,1,mid_center,disagreement,grid
67.25,137.5,paint,1,mid_center,disagreement,grid
67.5,137.5,paint,1,mid_center,disagreement,grid
67.75,137.5,paint,1,mid_center,disagreement,grid
68,137.5,paint,1,mid_center,disagreement,grid
68.25,137.5,paint,1,mid_center,disagreement,grid
68.5,137.5,paint,1,mid_center,disagreement,grid
68.75,137.5,paint,1,mid_center,disagreement,grid
69,137.5,paint,1,mid_center,disagreement,grid
69.25,137.5,paint,1,mid_center,disagreement,grid
69.5,137.5,paint,1,mid_center,disagreement,grid
69.75,137.5,paint,1,mid_center,disagreement,grid
70,137.5,paint,1,mid_center,disagreement,grid
70.25,137.5,paint,1,mid_center,disagreement,grid
70.5,137.5,paint,1,mid_center,disagreement,grid
70.75,137.5,paint,1,mid_center,disagreement,grid
71,137.5,paint,1,mid_center,disagreement,grid
71.25,137.5,paint,1,mid_center,disagreement,grid
71.5,137.5,paint,1,mid_center,disagreement,grid
71.75,137.5,paint,1,mid_center,disagreement,grid
72,137.5,paint,1,mid_center,disagreement,grid
72.25,137.5,paint,1,mid_center,disagreement,grid
72.5,137.5,paint,1,mid_center,disagreement,grid
72.75,137.5,paint,1,mid_center,disagreement,grid
73,137.5,paint,1,mid_center,disagreement,grid
73.25,137.5,paint,1,mid_center,disagreement,grid
73.5,137.5,paint,1,mid_center,disagreement,grid
73.75,137.5,paint,1,mid_center,disagreement,grid
74,137.5,paint,1,mid_center,disagreement,grid
74.25,137.5,paint,1,mid_center,disagreement,grid
74.5,137.5,paint,1,mid_center,disagreement,grid
74.75,137.5,paint,1,mid_center,disagreement,grid
75,137.5,paint,1,mid_center,disagreement,grid
75.25,137.5,paint,1,mid_center,disagreement,grid
75.5,137.5,paint,1,mid_center,disagreement,grid
75.75,137.5,paint,1,mid_center,disagreement,grid
76,137.5,paint,1,mid_center,disagreement,grid
76.25,137.5,paint,1,mid_center,disagreement,grid
76.5,137.5,paint,1,mid_center,disagreement,grid
76.75,137.5,paint,1,mid_center,disagreement,grid
77,137.5,paint,1,mid_center,disagreement,grid
77.25,137.5,paint,1,mid_center,disagreement,grid
77.5,137.5,paint,1,mid_center,disagreement,grid
77.75,137.5,paint,1,mid_center,disagreement,grid
78,137.5,paint,1,mid_center,disagreement,grid
78.25,137.5,paint,1,mid_center,disagreement,grid
78.5,137.5,paint,1,mid_center,disagreement,grid
78.75,137.5,paint,1,mid_center,disagreement,grid
79,137.5,paint,1,mid_center,disagreement,grid
79.25,137.5,paint,1,mid_center,disagreement,grid
79.5,137.5,paint,1,mid_center,disagreement,grid
79.75,137.5,paint,1,mid_center,disagreement,grid
80,137.5,paint,1,mid_center,disagreement,grid
129.25,199.25,mid_center,1,arc3_right,disagreement,grid
199.25,129.25,mid_right,1,arc3_right,disagreement,grid
210.75,109.5,mid_right,1,arc3_right,disagreement,grid
-124.5,202.25,mid_center,0,NA,orphan,grid
0.25,-52,paint,0,NA,orphan,grid
0.25,-51.75,paint,0,NA,orphan,grid
0.25,-51.5,paint,0,NA,orphan,grid
0.25,-51.25,paint,0,NA,orphan,grid
0.25,-51,paint,0,NA,orphan,grid
0.25,-50.75,paint,0,NA,orphan,grid
0.25,-50.5,paint,0,NA,orphan,grid
0.25,-50.25,paint,0,NA,orphan,grid
0.25,-50,paint,0,NA,orphan,grid
0.25,-49.75,paint,0,NA,orphan,grid
0.25,-49.5,paint,0,NA,orphan,grid
0.25,-49.25,paint,0,NA,orphan,grid
0.25,-49,paint,0,NA,orphan,grid
0.25,-48.75,paint,0,NA,orphan,grid
0.25,-48.5,paint,0,NA,orphan,grid
0.25,-48.25,paint,0,NA,orphan,grid
0.25,-48,paint,0,NA,orphan,grid
0.25,-47.75,paint,0,NA,orphan,grid
0.25,-47.5,paint,0,NA,orphan,grid
0.25,-47.25,paint,0,NA,orphan,grid
0.25,-47,paint,0,NA,orphan,grid
0.25,-46.75,paint,0,NA,orphan,grid
0.25,-46.5,paint,0,NA,orphan,grid
0.25,-46.25,paint,0,NA,orphan,grid
0.25,-46,paint,0,NA,orphan,grid
0.25,-45.75,paint,0,NA,orphan,grid
0.25,-45.5,paint,0,NA,orphan,grid
0.25,-45.25,paint,0,NA,orphan,grid
0.25,-45,paint,0,NA,orphan,grid
0.25,-44.75,paint,0,NA,orphan,grid
0.25,-44.5,paint,0,NA,orphan,grid
0.25,-44.25,paint,0,NA,orphan,grid
0.25,-44,paint,0,NA,orphan,grid
0.25,-43.75,paint,0,NA,orphan,grid
0.25,-43.5,paint,0,NA,orphan,grid
0.25,-43.25,paint,0,NA,orphan,grid
0.25,-43,paint,0,NA,orphan,grid
0.25,-42.75,paint,0,NA,orphan,grid
0.25,-42.5,paint,0,NA,orphan,grid
0.25,-42.25,paint,0,NA,orphan,grid
0.25,-42,paint,0,NA,orphan,grid
0.25,-41.75,paint,0,NA,orphan,grid
0.25,-41.5,paint,0,NA,orphan,grid
0.25,-41.25,paint,0,NA,orphan,grid
0.25,-41,paint,0,NA,orphan,grid
0.25,-40.75,paint,0,NA,orphan,grid
0.25,-40.5,paint,0,NA,orphan,grid
0.25,-40.25,paint,0,NA,orphan,grid
0.25,-40,paint,0,NA,orphan,grid
124.5,202.25,mid_center,0,NA,orphan,grid
-30.75,235.5,mid_center,2,arc3_top,overlap,grid
30.75,235.5,mid_center,2,arc3_top,overlap,grid
